Route_id,Origin,Destination
MIA-RSW,MIA,RSW
MIA-SDF,MIA,SDF
SDF-EWR,SDF,EWR
SDF-MIA,SDF,MIA
SDF-PHL,SDF,PHL
MCI-MIA,MCI,MIA
MEM-DCA,MEM,DCA
MEM-PHL,MEM,PHL
OMA-EWR,OMA,EWR
OMA-MIA,OMA,MIA
OMA-PHL,OMA,PHL
PNS-PHL,PNS,PHL
OKC-EWR,OKC,EWR
OKC-PHL,OKC,PHL
PHL-CMH,PHL,CMH
PHL-DSM,PHL,DSM
PHL-IND,PHL,IND
PHL-MEM,PHL,MEM
PHL-OKC,PHL,OKC
PHL-OMA,PHL,OMA
PHL-PNS,PHL,PNS
PHL-PVD,PHL,PVD
PHL-ROC,PHL,ROC
PHL-SDF,PHL,SDF
RIC-MIA,RIC,MIA
RIC-MSP,RIC,MSP
ROC-CLT,ROC,CLT
TLH-DCA,TLH,DCA
CAE-LGA,CAE,LGA
DAY-DTW,DAY,DTW
DTW-OMA,DTW,OMA
MSP-TYS,MSP,TYS
LGA-CAE,LGA,CAE
LGA-OMA,LGA,OMA
OMA-LGA,OMA,LGA
ROC-MSP,ROC,MSP
TYS-LGA,TYS,LGA
TYS-MSP,TYS,MSP
TUS-CLT,TUS,CLT
DCA-LAS,DCA,LAS
ADK-ANC,ADK,ANC
ANC-ADK,ANC,ADK
ANC-CDV,ANC,CDV
ANC-KOA,ANC,KOA
SEA-CHS,SEA,CHS
BLI-OGG,BLI,OGG
CDV-ANC,CDV,ANC
CDV-YAK,CDV,YAK
CHS-SEA,CHS,SEA
JNU-YAK,JNU,YAK
KOA-ANC,KOA,ANC
KOA-SMF,KOA,SMF
OGG-BLI,OGG,BLI
OTZ-OME,OTZ,OME
YAK-CDV,YAK,CDV
YAK-JNU,YAK,JNU
BOS-HDN,BOS,HDN
LGB-HDN,LGB,HDN
HDN-BOS,HDN,BOS
HDN-LGB,HDN,LGB
ALB-MSP,ALB,MSP
ANC-MSP,ANC,MSP
ATL-GRB,ATL,GRB
ATL-PSP,ATL,PSP
ATL-STX,ATL,STX
PHX-CVG,PHX,CVG
SEA-CVG,SEA,CVG
CLE-SLC,CLE,SLC
BUF-MSP,BUF,MSP
DTW-SJC,DTW,SJC
DTW-SNA,DTW,SNA
MSP-ANC,MSP,ANC
MSP-PBI,MSP,PBI
GRB-ATL,GRB,ATL
SJC-DTW,SJC,DTW
SNA-DTW,SNA,DTW
CVG-PHX,CVG,PHX
CVG-SEA,CVG,SEA
MEM-LAX,MEM,LAX
PBI-MSP,PBI,MSP
PSP-ATL,PSP,ATL
STX-ATL,STX,ATL
IAD-CHA,IAD,CHA
GSO-EWR,GSO,EWR
ABQ-MCO,ABQ,MCO
PIT-PBI,PIT,PBI
ALB-RSW,ALB,RSW
DEN-CHS,DEN,CHS
DEN-LFT,DEN,LFT
DEN-LIT,DEN,LIT
AUS-ONT,AUS,ONT
AUS-RDU,AUS,RDU
AUS-SNA,AUS,SNA
PHX-MSN,PHX,MSN
PHX-ORF,PHX,ORF
CLE-SAN,CLE,SAN
BNA-RSW,BNA,RSW
BNA-TTN,BNA,TTN
ORD-HRL,ORD,HRL
CHS-DEN,CHS,DEN
CHS-PHL,CHS,PHL
DSM-MCO,DSM,MCO
MCO-COS,MCO,COS
MCO-DSM,MCO,DSM
MCO-GRR,MCO,GRR
MCO-GSP,MCO,GSP
MCO-PWM,MCO,PWM
RSW-ALB,RSW,ALB
RSW-BNA,RSW,BNA
RSW-GRR,RSW,GRR
RSW-LAS,RSW,LAS
RSW-OMA,RSW,OMA
RSW-RDU,RSW,RDU
GSP-LAS,GSP,LAS
GSP-MCO,GSP,MCO
GRR-MCO,GRR,MCO
GRR-RSW,GRR,RSW
HRL-ORD,HRL,ORD
LAS-GSP,LAS,GSP
LAS-JAX,LAS,JAX
LAS-MEM,LAS,MEM
LAS-RSW,LAS,RSW
FLL-TTN,FLL,TTN
ONT-AUS,ONT,AUS
ONT-MCO,ONT,MCO
SNA-AUS,SNA,AUS
LFT-DEN,LFT,DEN
TPA-ORF,TPA,ORF
MEM-LAS,MEM,LAS
OMA-RSW,OMA,RSW
MSN-PHX,MSN,PHX
SAN-CLE,SAN,CLE
SAN-RDU,SAN,RDU
ORF-PHX,ORF,PHX
ORF-TPA,ORF,TPA
PBI-PIT,PBI,PIT
PHL-CHS,PHL,CHS
PWM-MCO,PWM,MCO
RDU-AUS,RDU,AUS
RDU-RSW,RDU,RSW
RDU-SAN,RDU,SAN
TTN-BNA,TTN,BNA
TTN-FLL,TTN,FLL
ABE-PGD,ABE,PGD
PIT-JAX,PIT,JAX
PIT-PIE,PIT,PIE
ALB-PIE,ALB,PIE
ATW-AZA,ATW,AZA
ATW-PIE,ATW,PIE
AUS-SFB,AUS,SFB
AVL-PGD,AVL,PGD
AZA-ATW,AZA,ATW
AZA-BIS,AZA,BIS
AZA-CVG,AZA,CVG
AZA-FWA,AZA,FWA
AZA-GRI,AZA,GRI
AZA-ICT,AZA,ICT
AZA-LAS,AZA,LAS
AZA-MLI,AZA,MLI
AZA-MOT,AZA,MOT
AZA-OAK,AZA,OAK
AZA-OMA,AZA,OMA
AZA-RAP,AZA,RAP
AZA-RFD,AZA,RFD
AZA-STC,AZA,STC
SHV-LAS,SHV,LAS
BIL-LAS,BIL,LAS
BIS-AZA,BIS,AZA
BIS-LAS,BIS,LAS
BLV-PIE,BLV,PIE
BLV-SFB,BLV,SFB
BWI-VPS,BWI,VPS
ICT-AZA,ICT,AZA
CID-LAS,CID,LAS
CID-PGD,CID,PGD
CID-SFB,CID,SFB
CKB-SFB,CKB,SFB
LCK-FLL,LCK,FLL
LCK-SFB,LCK,SFB
JAX-CVG,JAX,CVG
JAX-PIT,JAX,PIT
DSM-PIE,DSM,PIE
VPS-BWI,VPS,BWI
VPS-CVG,VPS,CVG
VPS-EWR,VPS,EWR
ELM-PIE,ELM,PIE
ELM-SFB,ELM,SFB
EUG-LAS,EUG,LAS
EWR-VPS,EWR,VPS
SWF-SFB,SWF,SFB
FNT-PGD,FNT,PGD
FSD-PIE,FSD,PIE
FSD-SFB,FSD,SFB
FWA-AZA,FWA,AZA
FWA-PIE,FWA,PIE
GSP-PIE,GSP,PIE
GTF-LAS,GTF,LAS
GJT-LAS,GJT,LAS
GRI-AZA,GRI,AZA
GRR-FLL,GRR,FLL
GRR-LAS,GRR,LAS
GSO-PIE,GSO,PIE
HGR-SFB,HGR,SFB
LAS-AZA,LAS,AZA
LAS-BIL,LAS,BIL
LAS-BIS,LAS,BIS
LAS-CID,LAS,CID
LAS-EUG,LAS,EUG
LAS-GJT,LAS,GJT
LAS-GRR,LAS,GRR
LAS-GTF,LAS,GTF
LAS-IDA,LAS,IDA
LAS-MFE,LAS,MFE
LAS-MRY,LAS,MRY
LAS-MSO,LAS,MSO
LAS-PIA,LAS,PIA
LAS-PSC,LAS,PSC
LAS-SBN,LAS,SBN
LAS-SGF,LAS,SGF
LAS-SHV,LAS,SHV
LAS-SMX,LAS,SMX
LAS-TYS,LAS,TYS
HTS-PIE,HTS,PIE
IAG-SFB,IAG,SFB
IDA-LAS,IDA,LAS
OAK-AZA,OAK,AZA
FLL-GRR,FLL,GRR
FLL-LCK,FLL,LCK
FLL-SDF,FLL,SDF
USA-PGD,USA,PGD
USA-SFB,USA,SFB
STC-AZA,STC,AZA
STC-PGD,STC,PGD
LAX-MTJ,LAX,MTJ
LAX-PVU,LAX,PVU
LAX-TUL,LAX,TUL
LIT-SFB,LIT,SFB
SDF-FLL,SDF,FLL
SDF-PIE,SDF,PIE
CVG-AZA,CVG,AZA
CVG-JAX,CVG,JAX
CVG-VPS,CVG,VPS
PIE-ALB,PIE,ALB
PIE-ATW,PIE,ATW
PIE-BLV,PIE,BLV
PIE-DSM,PIE,DSM
PIE-ELM,PIE,ELM
PIE-FSD,PIE,FSD
PIE-FWA,PIE,FWA
PIE-GSO,PIE,GSO
PIE-GSP,PIE,GSP
PIE-HTS,PIE,HTS
PIE-MLI,PIE,MLI
PIE-OMA,PIE,OMA
PIE-PIT,PIE,PIT
PIE-RFD,PIE,RFD
PIE-RIC,PIE,RIC
PIE-SBN,PIE,SBN
PIE-SDF,PIE,SDF
PIE-SYR,PIE,SYR
SAT-SFB,SAT,SFB
MFE-LAS,MFE,LAS
MOT-AZA,MOT,AZA
OMA-AZA,OMA,AZA
OMA-PGD,OMA,PGD
OMA-PIE,OMA,PIE
MLI-AZA,MLI,AZA
MLI-PIE,MLI,PIE
MSO-LAS,MSO,LAS
MTJ-LAX,MTJ,LAX
ORF-SFB,ORF,SFB
OWB-SFB,OWB,SFB
PGD-ABE,PGD,ABE
PGD-AVL,PGD,AVL
PGD-CID,PGD,CID
PGD-FNT,PGD,FNT
PGD-OMA,PGD,OMA
PGD-PSM,PGD,PSM
PGD-ROC,PGD,ROC
PGD-SPI,PGD,SPI
PGD-STC,PGD,STC
PGD-TOL,PGD,TOL
PGD-USA,PGD,USA
PIA-LAS,PIA,LAS
PIA-SFB,PIA,SFB
PSC-LAS,PSC,LAS
PSM-PGD,PSM,PGD
PVU-LAX,PVU,LAX
RAP-AZA,RAP,AZA
RDU-SFB,RDU,SFB
RFD-AZA,RFD,AZA
RFD-PIE,RFD,PIE
RIC-PIE,RIC,PIE
ROA-SFB,ROA,SFB
ROC-PGD,ROC,PGD
TUL-LAX,TUL,LAX
SBN-PIE,SBN,PIE
SBN-SFB,SBN,SFB
SFB-AUS,SFB,AUS
SFB-BLV,SFB,BLV
SFB-CID,SFB,CID
SFB-CKB,SFB,CKB
SFB-ELM,SFB,ELM
SFB-FSD,SFB,FSD
SFB-HGR,SFB,HGR
SFB-IAG,SFB,IAG
SFB-LCK,SFB,LCK
SFB-LIT,SFB,LIT
SFB-ORF,SFB,ORF
SFB-OWB,SFB,OWB
SFB-PIA,SFB,PIA
SFB-RDU,SFB,RDU
SFB-ROA,SFB,ROA
SFB-SAT,SFB,SAT
SFB-SBN,SFB,SBN
SFB-SGF,SFB,SGF
SFB-SJU,SFB,SJU
SFB-SWF,SFB,SWF
SFB-TOL,SFB,TOL
SFB-USA,SFB,USA
SGF-LAS,SGF,LAS
SGF-SFB,SGF,SFB
SJU-SFB,SJU,SFB
SMX-LAS,SMX,LAS
MRY-LAS,MRY,LAS
SPI-PGD,SPI,PGD
SYR-PIE,SYR,PIE
TOL-PGD,TOL,PGD
TOL-SFB,TOL,SFB
TYS-LAS,TYS,LAS
DFW-CMI,DFW,CMI
BHM-MIA,BHM,MIA
CMI-DFW,CMI,DFW
MIA-BHM,MIA,BHM
AVL-MCO,AVL,MCO
CAK-RSW,CAK,RSW
BWI-MYR,BWI,MYR
MYR-BWI,MYR,BWI
MYR-EWR,MYR,EWR
MYR-MCO,MYR,MCO
MCO-AVL,MCO,AVL
MCO-GSO,MCO,GSO
MCO-MYR,MCO,MYR
EWR-MYR,EWR,MYR
RSW-CAK,RSW,CAK
RSW-LBE,RSW,LBE
GSO-MCO,GSO,MCO
LBE-RSW,LBE,RSW
CAK-LGA,CAK,LGA
DCA-CHA,DCA,CHA
DCA-ILM,DCA,ILM
DCA-MGM,DCA,MGM
LGA-CAK,LGA,CAK
ILM-DCA,ILM,DCA
MGM-DCA,MGM,DCA
DEN-MLI,DEN,MLI
DEN-MSN,DEN,MSN
DEN-RAP,DEN,RAP
APN-PLN,APN,PLN
AZO-DTW,AZO,DTW
ELP-SLC,ELP,SLC
MHT-DTW,MHT,DTW
DTW-AZO,DTW,AZO
DTW-MHT,DTW,MHT
DSM-LGA,DSM,LGA
DVL-DEN,DVL,DEN
FAR-ATL,FAR,ATL
MSP-SBN,MSP,SBN
LGA-DSM,LGA,DSM
LBL-PUB,LBL,PUB
MKE-SLC,MKE,SLC
MLI-DEN,MLI,DEN
SAN-HDN,SAN,HDN
RAP-ORD,RAP,ORD
SBN-MSP,SBN,MSP
HDN-SAN,HDN,SAN
ABQ-AUS,ABQ,AUS
ABQ-SJC,ABQ,SJC
DAL-CHS,DAL,CHS
DAL-HRL,DAL,HRL
DEN-LGB,DEN,LGB
AUS-ABQ,AUS,ABQ
TUS-OAK,TUS,OAK
BNA-OKC,BNA,OKC
CHS-DAL,CHS,DAL
HOU-LBB,HOU,LBB
HRL-DAL,HRL,DAL
OAK-TUS,OAK,TUS
SJC-ABQ,SJC,ABQ
LGB-DEN,LGB,DEN
LBB-HOU,LBB,HOU
OKC-BNA,OKC,BNA
IAD-CVG,IAD,CVG
LBB-PHX,LBB,PHX
DCA-SRQ,DCA,SRQ
DCA-VPS,DCA,VPS
DTW-ORF,DTW,ORF
LGA-GRR,LGA,GRR
GRR-LGA,GRR,LGA
ORF-BOS,ORF,BOS
ORF-DTW,ORF,DTW
ROC-PHL,ROC,PHL
SRQ-DCA,SRQ,DCA
BZN-LGB,BZN,LGB
LGB-BZN,LGB,BZN
DEN-HRL,DEN,HRL
DEN-TYS,DEN,TYS
STL-PBI,STL,PBI
JAX-LAS,JAX,LAS
MCO-JAN,MCO,JAN
HRL-DEN,HRL,DEN
LAS-MSN,LAS,MSN
JAN-MCO,JAN,MCO
MSN-LAS,MSN,LAS
PBI-STL,PBI,STL
TYS-DEN,TYS,DEN
PIT-SFB,PIT,SFB
PIT-SRQ,PIT,SRQ
ALB-SFB,ALB,SFB
AUS-CVG,AUS,CVG
AUS-IND,AUS,IND
AVL-BWI,AVL,BWI
AVL-EWR,AVL,EWR
TUS-BLI,TUS,BLI
AZA-PIA,AZA,PIA
CLE-PGD,CLE,PGD
CLE-SAV,CLE,SAV
BLI-TUS,BLI,TUS
BLV-LAS,BLV,LAS
BNA-PIE,BNA,PIE
BNA-RIC,BNA,RIC
BZN-LAS,BZN,LAS
BWI-AVL,BWI,AVL
BWI-SAV,BWI,SAV
CHA-SFB,CHA,SFB
CHS-CVG,CHS,CVG
CID-PIE,CID,PIE
DAY-PGD,DAY,PGD
VPS-OKC,VPS,OKC
EVV-SFB,EVV,SFB
FAR-LAS,FAR,LAS
FAR-SFB,FAR,SFB
FCA-LAS,FCA,LAS
EWR-AVL,EWR,AVL
SWF-PIE,SWF,PIE
FSD-LAS,FSD,LAS
XNA-LAS,XNA,LAS
GSP-SFB,GSP,SFB
GFK-LAS,GFK,LAS
GRI-LAS,GRI,LAS
GSO-SFB,GSO,SFB
LAS-ATW,LAS,ATW
LAS-BLV,LAS,BLV
LAS-BZN,LAS,BZN
LAS-FAR,LAS,FAR
LAS-FCA,LAS,FCA
LAS-FSD,LAS,FSD
LAS-GFK,LAS,GFK
LAS-GRI,LAS,GRI
LAS-LRD,LAS,LRD
LAS-MFR,LAS,MFR
LAS-MLI,LAS,MLI
LAS-MOT,LAS,MOT
LAS-RAP,LAS,RAP
LAS-RFD,LAS,RFD
LAS-XNA,LAS,XNA
IND-AUS,IND,AUS
LAX-OKC,LAX,OKC
LRD-LAS,LRD,LAS
CVG-AUS,CVG,AUS
CVG-CHS,CVG,CHS
PIE-BNA,PIE,BNA
PIE-CID,PIE,CID
PIE-MCI,PIE,MCI
PIE-MEM,PIE,MEM
PIE-OGS,PIE,OGS
PIE-ORF,PIE,ORF
PIE-PIA,PIE,PIA
PIE-RDU,PIE,RDU
PIE-ROA,PIE,ROA
PIE-SWF,PIE,SWF
MCI-PIE,MCI,PIE
MEM-PIE,MEM,PIE
MFE-SFB,MFE,SFB
MFR-LAS,MFR,LAS
MOT-LAS,MOT,LAS
OMA-SFB,OMA,SFB
MLI-LAS,MLI,LAS
MSY-RDU,MSY,RDU
ORF-PIE,ORF,PIE
OGS-PIE,OGS,PIE
OGS-SFB,OGS,SFB
OKC-LAX,OKC,LAX
OKC-VPS,OKC,VPS
PGD-CLE,PGD,CLE
PGD-DAY,PGD,DAY
PGD-SYR,PGD,SYR
PIA-AZA,PIA,AZA
PIA-PIE,PIA,PIE
PSM-SFB,PSM,SFB
RAP-LAS,RAP,LAS
RDU-MSY,RDU,MSY
RDU-PIE,RDU,PIE
RFD-LAS,RFD,LAS
RFD-SFB,RFD,SFB
RIC-BNA,RIC,BNA
RIC-SFB,RIC,SFB
ROA-PIE,ROA,PIE
ROC-SFB,ROC,SFB
SAV-BWI,SAV,BWI
SAV-CLE,SAV,CLE
SBN-LAS,SBN,LAS
SFB-ALB,SFB,ALB
SFB-CHA,SFB,CHA
SFB-EVV,SFB,EVV
SFB-FAR,SFB,FAR
SFB-GSO,SFB,GSO
SFB-GSP,SFB,GSP
SFB-MFE,SFB,MFE
SFB-OGS,SFB,OGS
SFB-OMA,SFB,OMA
SFB-PIT,SFB,PIT
SFB-PSM,SFB,PSM
SFB-RFD,SFB,RFD
SFB-RIC,SFB,RIC
SFB-ROC,SFB,ROC
SFB-SYR,SFB,SYR
SFB-TRI,SFB,TRI
SRQ-PIT,SRQ,PIT
SYR-PGD,SYR,PGD
SYR-SFB,SYR,SFB
TRI-SFB,TRI,SFB
HNL-PPG,HNL,PPG
PPG-HNL,PPG,HNL
IAD-LWB,IAD,LWB
DTW-PWM,DTW,PWM
LWB-IAD,LWB,IAD
PWM-DTW,PWM,DTW
EWR-BUF,EWR,BUF
EWR-MEM,EWR,MEM
GSP-DTW,GSP,DTW
DTW-GSP,DTW,GSP
MEM-EWR,MEM,EWR
PIT-SAN,PIT,SAN
DEN-BHM,DEN,BHM
DEN-BUF,DEN,BUF
DEN-GSP,DEN,GSP
DEN-JAN,DEN,JAN
DEN-PNS,DEN,PNS
DEN-SAV,DEN,SAV
AUS-CMH,AUS,CMH
BHM-DEN,BHM,DEN
CLE-SRQ,CLE,SRQ
PVD-RSW,PVD,RSW
BUF-DEN,BUF,DEN
CMH-AUS,CMH,AUS
CMH-PBI,CMH,PBI
STL-JAX,STL,JAX
JAX-STL,JAX,STL
MCO-LFT,MCO,LFT
MCO-LIT,MCO,LIT
MCO-TYS,MCO,TYS
RSW-PVD,RSW,PVD
RSW-PWM,RSW,PWM
RSW-SLC,RSW,SLC
GSP-DEN,GSP,DEN
GSP-TPA,GSP,TPA
LAS-ORF,LAS,ORF
IND-SAN,IND,SAN
JAN-DEN,JAN,DEN
ONT-SAT,ONT,SAT
LIT-MCO,LIT,MCO
LFT-MCO,LFT,MCO
TPA-GSP,TPA,GSP
SAT-ONT,SAT,ONT
SAN-IND,SAN,IND
SAN-PIT,SAN,PIT
ORF-LAS,ORF,LAS
PNS-DEN,PNS,DEN
PBI-CMH,PBI,CMH
PHL-SRQ,PHL,SRQ
PWM-RSW,PWM,RSW
RDU-TTN,RDU,TTN
SLC-RSW,SLC,RSW
SAV-DEN,SAV,DEN
SRQ-CLE,SRQ,CLE
SRQ-PHL,SRQ,PHL
TTN-RDU,TTN,RDU
TYS-MCO,TYS,MCO
ATW-LAS,ATW,LAS
ATW-PGD,ATW,PGD
TUS-PVU,TUS,PVU
AZA-BLV,AZA,BLV
AZA-BOI,AZA,BOI
AZA-BZN,AZA,BZN
AZA-DSM,AZA,DSM
AZA-MCI,AZA,MCI
AZA-OGD,AZA,OGD
AZA-SBN,AZA,SBN
AZA-SCK,AZA,SCK
AZA-SGU,AZA,SGU
CLE-PIE,CLE,PIE
BLV-AZA,BLV,AZA
BMI-PIE,BMI,PIE
BNA-PGD,BNA,PGD
BOI-AZA,BOI,AZA
BZN-AZA,BZN,AZA
CHA-PIE,CHA,PIE
DAY-PIE,DAY,PIE
DSM-AZA,DSM,AZA
VPS-MCI,VPS,MCI
SWF-PGD,SWF,PGD
FNT-FLL,FNT,FLL
GSP-FLL,GSP,FLL
GPT-SFB,GPT,SFB
MDT-PIE,MDT,PIE
OGD-AZA,OGD,AZA
FLL-FNT,FLL,FNT
FLL-GSP,FLL,GSP
FLL-MEM,FLL,MEM
FLL-ORF,FLL,ORF
USA-MSY,USA,MSY
CVG-SAV,CVG,SAV
PIE-BMI,PIE,BMI
PIE-CHA,PIE,CHA
PIE-CLE,PIE,CLE
PIE-DAY,PIE,DAY
PIE-MDT,PIE,MDT
MCI-AZA,MCI,AZA
MCI-PGD,MCI,PGD
MCI-VPS,MCI,VPS
MEM-FLL,MEM,FLL
MEM-SFB,MEM,SFB
MLI-PGD,MLI,PGD
MSY-USA,MSY,USA
ORF-FLL,ORF,FLL
PGD-ATW,PGD,ATW
PGD-BNA,PGD,BNA
PGD-MCI,PGD,MCI
PGD-MLI,PGD,MLI
PGD-PIA,PGD,PIA
PGD-SWF,PGD,SWF
PIA-PGD,PIA,PGD
PVU-TUS,PVU,TUS
SAV-CVG,SAV,CVG
SBN-AZA,SBN,AZA
SCK-AZA,SCK,AZA
SFB-GPT,SFB,GPT
SFB-MEM,SFB,MEM
SGU-AZA,SGU,AZA
DEN-FCA,DEN,FCA
FCA-DEN,FCA,DEN
BDL-CLE,BDL,CLE
LGA-CHA,LGA,CHA
CVG-RDU,CVG,RDU
RDU-CVG,RDU,CVG
BHM-SJC,BHM,SJC
CLT-MTJ,CLT,MTJ
CLT-STX,CLT,STX
EGE-LGA,EGE,LGA
LGA-EGE,LGA,EGE
GSP-SJC,GSP,SJC
MTJ-CLT,MTJ,CLT
OKC-SJC,OKC,SJC
STX-CLT,STX,CLT
FLL-HDN,FLL,HDN
HDN-FLL,HDN,FLL
DTW-PVD,DTW,PVD
MSP-SJU,MSP,SJU
JFK-JAC,JFK,JAC
JAC-JFK,JAC,JFK
SJU-MSP,SJU,MSP
ALB-IAD,ALB,IAD
IAD-ALB,IAD,ALB
EWR-MHT,EWR,MHT
EWR-SBN,EWR,SBN
ABE-FLL,ABE,FLL
PIT-SJU,PIT,SJU
AZA-MKE,AZA,MKE
AZA-PIE,AZA,PIE
FLL-ABE,FLL,ABE
CVG-SJU,CVG,SJU
PIE-AZA,PIE,AZA
PIE-MKE,PIE,MKE
MKE-AZA,MKE,AZA
MKE-PGD,MKE,PGD
MKE-PIE,MKE,PIE
MKE-SFB,MKE,SFB
PGD-MKE,PGD,MKE
SFB-MKE,SFB,MKE
SJU-CVG,SJU,CVG
SJU-PIT,SJU,PIT
BGR-DCA,BGR,DCA
DCA-BGR,DCA,BGR
CLT-HVN,CLT,HVN
CLT-ITH,CLT,ITH
HVN-CLT,HVN,CLT
ITH-CLT,ITH,CLT
PHF-CLT,PHF,CLT
PHL-PHF,PHL,PHF
DEN-DAY,DEN,DAY
DEN-PSC,DEN,PSC
ORD-SUN,ORD,SUN
DTW-GSO,DTW,GSO
DTW-HSV,DTW,HSV
GSO-DTW,GSO,DTW
SFO-HDN,SFO,HDN
PSC-DEN,PSC,DEN
HDN-SFO,HDN,SFO
SUN-ORD,SUN,ORD
BHM-SFO,BHM,SFO
IAD-HDN,IAD,HDN
ORD-STT,ORD,STT
IAH-STT,IAH,STT
EWR-HDN,EWR,HDN
LGA-MTJ,LGA,MTJ
MTJ-LGA,MTJ,LGA
HDN-EWR,HDN,EWR
HDN-IAD,HDN,IAD
STT-IAH,STT,IAH
STT-ORD,STT,ORD
HOU-SJU,HOU,SJU
SJU-HOU,SJU,HOU
BRO-ORD,BRO,ORD
ORD-BRO,ORD,BRO
GRR-PHL,GRR,PHL
PHL-GRR,PHL,GRR
BDL-CVG,BDL,CVG
CLE-BDL,CLE,BDL
MHT-LGA,MHT,LGA
CHA-LGA,CHA,LGA
LGA-LEX,LGA,LEX
LGA-MHT,LGA,MHT
IND-RDU,IND,RDU
LEX-LGA,LEX,LGA
CVG-BDL,CVG,BDL
MCI-CVG,MCI,CVG
RDU-BDL,RDU,BDL
RDU-IND,RDU,IND
PVD-DTW,PVD,DTW
IAD-SCE,IAD,SCE
SBN-EWR,SBN,EWR
CLT-ROA,CLT,ROA
LGA-ROA,LGA,ROA
ROA-CLT,ROA,CLT
ROA-LGA,ROA,LGA
DCA-LAN,DCA,LAN
CLT-LYH,CLT,LYH
CLT-PHF,CLT,PHF
LAN-DCA,LAN,DCA
LYH-CLT,LYH,CLT
HSV-DTW,HSV,DTW
DEN-SGF,DEN,SGF
SEA-STS,SEA,STS
CHA-DTW,CHA,DTW
DTW-CHA,DTW,CHA
MSP-MBS,MSP,MBS
MSP-PIA,MSP,PIA
MSP-TUL,MSP,TUL
PIA-MSP,PIA,MSP
TUL-MSP,TUL,MSP
SGF-DEN,SGF,DEN
TWF-DEN,TWF,DEN
TWF-LAX,TWF,LAX
TWF-SFO,TWF,SFO
GSP-SFO,GSP,SFO
DAL-JAX,DAL,JAX
ELP-SAN,ELP,SAN
CMH-MSY,CMH,MSY
JAX-DAL,JAX,DAL
HOU-PHL,HOU,PHL
HOU-SMF,HOU,SMF
IND-MSY,IND,MSY
SMF-HOU,SMF,HOU
MSY-CMH,MSY,CMH
MSY-IND,MSY,IND
SAN-ELP,SAN,ELP
PHL-HOU,PHL,HOU
DCA-LEX,DCA,LEX
DCA-MSN,DCA,MSN
CMH-RDU,CMH,RDU
LEX-DCA,LEX,DCA
CVG-MCI,CVG,MCI
MSN-DCA,MSN,DCA
PHL-BUF,PHL,BUF
RDU-CMH,RDU,CMH
BDL-RDU,BDL,RDU
BHM-DTW,BHM,DTW
STL-CVG,STL,CVG
DTW-BHM,DTW,BHM
CVG-STL,CVG,STL
HSV-IAD,HSV,IAD
ALB-EWR,ALB,EWR
BGR-EWR,BGR,EWR
IAD-HSV,IAD,HSV
IAD-SDF,IAD,SDF
ORD-ABE,ORD,ABE
ORD-SCE,ORD,SCE
CRW-IAH,CRW,IAH
IAH-CRW,IAH,CRW
EWR-ALB,EWR,ALB
EWR-BGR,EWR,BGR
EWR-GRR,EWR,GRR
EWR-LEX,EWR,LEX
LEX-EWR,LEX,EWR
SCE-ORD,SCE,ORD
DEN-COU,DEN,COU
DEN-HDN,DEN,HDN
DEN-XNA,DEN,XNA
CGI-PAH,CGI,PAH
ORD-BIS,ORD,BIS
XNA-DEN,XNA,DEN
LAX-STS,LAX,STS
MBS-MSP,MBS,MSP
PAH-CGI,PAH,CGI
STS-LAX,STS,LAX
HDN-DEN,HDN,DEN
DAL-ECP,DAL,ECP
DAL-MKE,DAL,MKE
DAL-MSP,DAL,MSP
DAL-RSW,DAL,RSW
DAL-SDF,DAL,SDF
ECP-DAL,ECP,DAL
MSP-DAL,MSP,DAL
RSW-DAL,RSW,DAL
RSW-MCI,RSW,MCI
SDF-DAL,SDF,DAL
MCI-RSW,MCI,RSW
MKE-DAL,MKE,DAL
PVD-IAD,PVD,IAD
IAD-PVD,IAD,PVD
BUF-PHL,BUF,PHL
EWR-XNA,EWR,XNA
XNA-EWR,XNA,EWR
SJC-BHM,SJC,BHM
SJC-GSP,SJC,GSP
BOS-ROC,BOS,ROC
ROC-BOS,ROC,BOS
ABE-ORD,ABE,ORD
DEN-LNK,DEN,LNK
DAY-DEN,DAY,DEN
COU-DEN,COU,DEN
LNK-DEN,LNK,DEN
SFO-BHM,SFO,BHM
SFO-GSP,SFO,GSP
GJT-LAX,GJT,LAX
DEN-CPR,DEN,CPR
DEN-RDM,DEN,RDM
CPR-DEN,CPR,DEN
RDM-DEN,RDM,DEN
DAL-RNO,DAL,RNO
DAL-TUS,DAL,TUS
PIT-MSY,PIT,MSY
TUS-DAL,TUS,DAL
ELP-SJC,ELP,SJC
SJC-ELP,SJC,ELP
MSY-PIT,MSY,PIT
RNO-DAL,RNO,DAL
CPR-RAP,CPR,RAP
SJC-MCI,SJC,MCI
BTR-DCA,BTR,DCA
